line,old_linecode,new_linecode,normamps,cost_usd_year
L115,3P_OH_AL_ACSR_477_3,3P_OH_AL_OTHER_3,3000,473070.5981870794
L3,3P_OH_AL_ACSR_477_3,3P_OH_AL_OTHER_3,3000,354802.94864030945
L7,3P_OH_AL_ACSR_477_3,3P_OH_AL_OTHER_3,3000,236535.2990935397
L13,3P_OH_AL_ACSR_3/0_3,3P_OH_AL_OTHER_3,3000,975708.1087608512
L36,3P_OH_AL_ACSR_#2_3,3P_OH_AL_ACSR_795_3,910,88700.73716007736
L41,3P_OH_AL_ACSR_#2_3,3P_OH_AL_ACSR_795_3,910,88700.73716007736
L43,1,3P_OH_AL_ACSR_336_4_3,530,0.0
L45,1,3P_OH_AL_ACSR_336_4_3,530,0.0
L67,3P_OH_AL_ACSR_#2_3,3P_OH_AL_ACSR_4/0_Penguin_3,340,25419.824140393102
L68,3P_OH_AL_ACSR_1/0_3,3P_OH_AL_ACSR_336_4_3,530,35806.14589206221
L118,3P_OH_AL_ACSR_1/0_3,3P_OH_AL_ACSR_336_4_3,530,35806.14589206221
L101,3P_OH_AL_ACSR_3/0_3,3P_OH_AL_ACSR_477_3,670,54610.72109282254
L114,3P_OH_AL_ACSR_#2_3,3P_OH_AL_OTHER_3,3000,443503.6858003869
